Start Motorposition1;Ende Motorposition1
0.00;0.00
0.00;565.81
565.81;1168.29
1168.29;1762.62
1771.35;2365.68
2365.68;2968.16
2968.16;3571.22
3571.22;0.00
4174.28;4777.34
4777.34;5380.40
5380.40;5983.46
5983.46;6577.21
0.00;7180.27
7180.27;7783.33
7783.33;8386.40
8386.40;8989.46
8989.46;9591.94
9591.94;10195.58
10195.58;10798.06
10798.06;11392.39
0.00;0.00
11995.45;12598.51
12598.51;13200.99
13200.99;13804.05
13804.05;14407.11
14407.11;15010.17
15010.17;0.00
15612.65;16206.98
16216.30;16810.05
16810.05;17413.11
17413.11;18016.17
18016.17;18618.65
18618.65;19221.71
19221.71;19824.77
19824.77;20427.83
20427.83;21030.89
0.00;21624.64
21624.64;22227.70
22227.70;22830.76
22830.76;23433.83
23433.83;24036.89
24036.89;24639.37
24639.37;25243.01
25243.01;0.00
25846.07;26439.82
26449.13;27042.88
27042.88;27645.36
27645.36;28248.42
28248.42;28852.07
28852.07;0.00
29455.13;30057.61
0.00;30660.67
30660.67;0.00
31263.73;31857.48
31857.48;32461.12
32461.12;33063.60
33063.60;33666.66
33666.66;34269.72
34269.72;34872.78
34872.78;0.00
35475.84;36069.59
36078.32;36672.65
36672.65;37275.71
37275.71;37878.78
37878.78;38481.25
38481.25;39084.32
39084.32;39687.38
39687.38;0.00
40290.44;40884.77
40893.50;41487.83
41487.83;42090.89
42090.89;42693.37
42693.37;43296.43
43296.43;43899.49
43899.49;0.00
44502.55;0.00
45105.62;0.00
45708.10;46302.42
46302.42;46905.49
46905.49;47508.55
47508.55;48111.61
48111.61;48714.67
48714.67;49317.73
49317.73;0.00
49920.21;50514.54
0.00;51117.60
51117.60;51720.08
51720.08;52323.73
52323.73;52926.21
52926.21;53529.26
53529.26;54132.33
54132.33;54735.39
54735.39;55338.45
55338.45;0.00
55932.20;0.00
56535.26;0.00
0.00;57741.38
57741.38;58344.44
58344.44;58947.50
58947.50;59550.57
