Start Motorposition1;Start Motorposition2;Ende Motorposition1;Ende Motorposition2;Gesamtumdrehungen Motor1 (rpm);Gesamtumdrehungen Motor2 (rpm)

Test 100 rpm
0.00	0.00	35916.50	35912.13	99.77	99.76
0.00	0.00	35925.23	0.00	99.79	0.00
0.00	0.00	0.00	35920.57	0.00	99.78
0.00	0.00	35929.89	35932.21	99.81	99.81
0.00	0.00	35925.23	35929.89	99.79	99.81
0.00	0.00	35932.21	35922.90	99.81	99.79
0.00	0.00	35927.56	35929.89	99.80	99.81
0.00	0.00	35929.59	35930.47	99.80	99.81
0.00	0.00	35925.52	35922.90	99.79	99.79
0.00	0.00	35925.23	35929.30	99.79	99.80
0.00	0.00	35932.21	35932.21	99.81	99.81
0.00	0.00	35925.23	0.00	99.79	0.00
0.00	0.00	35946.18	35929.30	99.85	99.80

Test 150 rpm
0,00;0,00;53882,02;53877,37;149,67;149,66
0,00;0,00;53891,63;53891,33;149,70;149,70
0,00;0,00;53891,33;53893,66;149,70;149,70
0,00;0,00;53891,33;53889,01;149,70;149,69
0,00;0,00;53891,33;53896,28;149,70;149,71
0,00;0,00;53891,63;53886,39;149,70;149,68
0,00;0,00;53891,33;53898,32;149,70;149,72
0,00;0,00;53891,33;53884,35;149,70;149,68
0,00;0,00;53891,33;53898,32;149,70;149,72
0,00;0,00;53891,33;53884,93;149,70;149,68 
Test 200rpm
0,00;0,00;71857,45;71852,79;199,60;199,59
0,00;0,00;71857,16;71859,78;199,60;199,61
0,00;0,00;0,00;71852,79;0,00;199,59
0,00;0,00;71853,08;71857,45;199,59;199,60
0,00;0,00;71855,12;71857,45;199,60;199,60
0,00;0,00;71857,45;71857,45;199,60;199,60
0,00;0,00;71857,16;71850,75;199,60;199,59
0,00;0,00;71857,45;71857,16;199,60;199,60
0,00;0,00;71853,08;71857,45;199,59;199,60
0,00;0,00;71896,45;71857,45;199,71;199,60
0,00;0,00;71885,97;71892,37;199,68;199,70

