turns = 2; speed = 50
0.00;725.59
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;724.72
0.00;724.72
0.00;725.30
0.00;724.72
0.00;0.00
0.00;727.05
0.00;719.77
0.00;725.59
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;726.47
0.00;0.00
0.00;726.47
0.00;726.47
turns = 2; speed = 100
0.00;718.90
0.00;719.19
0.00;0.00
0.00;717.15
0.00;719.19
0.00;729.09
0.00;717.15
0.00;719.19
0.00;729.09
0.00;721.52
0.00;724.43
0.00;716.86
0.00;0.00
0.00;719.48
0.00;729.09
0.00;718.03
0.00;718.32
0.00;729.09
0.00;721.52
0.00;718.32
0.00;720.65
0.00;718.32
0.00;720.65
0.00;0.00
0.00;722.98
0.00;0.00
0.00;721.52
0.00;720.65
0.00;720.65
0.00;719.77
0.00;719.19
0.00;719.77
0.00;719.19
0.00;729.09
0.00;721.52
0.00;720.65
0.00;0.00
0.00;724.43
0.00;717.15
0.00;728.80
0.00;717.15
0.00;719.19
0.00;719.77
0.00;719.19
0.00;0.00
0.00;719.19
0.00;719.77
0.00;719.19
0.00;729.67
0.00;0.00
0.00;719.19
0.00;719.77
0.00;719.19
0.00;729.09
0.00;723.85
0.00;719.77
0.00;716.86
0.00;724.43
0.00;716.86
0.00;729.09
0.00;720.36
0.00;725.59
0.00;716.86
0.00;729.09
0.00;721.52
0.00;724.43
0.00;0.00
0.00;729.09
0.00;717.15
0.00;719.19
0.00;730.83
0.00;720.06
0.00;724.14
0.00;717.15
0.00;719.48
0.00;719.19
0.00;729.09
0.00;720.36
0.00;0.00
0.00;719.48
0.00;719.19
0.00;729.09
0.00;720.36
0.00;716.28
0.00;0.00
0.00;719.19
0.00;719.77
0.00;719.19
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.19
0.00;719.77
0.00;0.00
0.00;719.77
0.00;0.00
0.00;729.09
0.00;721.52
0.00;724.43
0.00;720.36
turns = 2; speed = 150
0.00;719.48
0.00;719.48
0.00;720.65
0.00;718.32
0.00;0.00
0.00;715.41
0.00;719.19
0.00;0.00
0.00;718.32
0.00;0.00
0.00;719.77
0.00;719.19
0.00;714.83
0.00;720.65
0.00;719.48
0.00;719.48
0.00;719.48
0.00;720.65
0.00;718.32
0.00;719.48
0.00;721.81
0.00;720.65
0.00;718.32
0.00;720.65
0.00;718.32
0.00;0.00
0.00;719.77
0.00;0.00
0.00;718.32
0.00;720.65
0.00;723.85
0.00;0.00
0.00;720.65
0.00;0.00
0.00;720.65
0.00;718.32
0.00;716.57
0.00;729.09
0.00;719.77
0.00;720.65
0.00;718.32
0.00;719.48
0.00;719.48
0.00;719.48
0.00;721.81
0.00;0.00
0.00;719.77
0.00;719.19
0.00;0.00
0.00;718.32
0.00;0.00
0.00;716.86
0.00;718.32
0.00;719.48
0.00;0.00
0.00;720.65
0.00;718.32
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;722.98
0.00;718.32
0.00;720.65
0.00;718.32
0.00;720.65
0.00;719.77
0.00;719.19
0.00;719.77
0.00;719.19
0.00;719.77
0.00;716.86
0.00;718.32
0.00;720.65
0.00;718.32
0.00;721.81
0.00;730.25
0.00;720.36
0.00;719.48
0.00;720.65
0.00;0.00
0.00;720.65
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;720.65
0.00;0.00
0.00;719.48
0.00;719.48
0.00;720.65
0.00;718.32
0.00;720.65
0.00;718.32
0.00;720.65
0.00;718.32
0.00;719.48
turns = 2; speed = 200
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;0.00
0.00;719.48
0.00;0.00
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
