Start Motorposition1;Start Motorposition2;Ende Motorposition1;Ende Motorposition2;Gesamtumdrehungen Motor1 (rpm);Gesamtumdrehungen Motor2 (rpm)
0,00;0,00;35916,50;35912,13;99,77;99,76
0,00;0,00;35925,23;0,00;99,79;0,00
0,00;0,00;0,00;35920,57;0,00;99,78
0,00;0,00;35929,89;35932,21;99,81;99,81
0,00;0,00;35925,23;35929,89;99,79;99,81
0,00;0,00;35932,21;35922,90;99,81;99,79
0,00;0,00;35927,56;35929,89;99,80;99,81
0,00;0,00;35929,59;35930,47;99,80;99,81
0,00;0,00;35925,52;35922,90;99,79;99,79
0,00;0,00;35925,23;35929,30;99,79;99,80
0,00;0,00;35932,21;35932,21;99,81;99,81
0,00;0,00;35925,23;0,00;99,79;0,00
0,00;0,00;35946,18;35929,30;99,85;99,80
